City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Narsaq,GL,60.9167,-46.05,31.37,83,100,5.75,overcast clouds
110,Rumonge,BI,-3.9736,29.4386,71.56,84,59,2.57,broken clouds
111,Mahebourg,MU,-20.4081,57.7,77.29,94,75,1.14,broken clouds
112,Chuy,UY,-33.6971,-53.4616,64.83,68,100,8.23,overcast clouds
113,Mirnyy,RU,62.5353,113.9611,41.23,65,94,11.01,overcast clouds
114,Ahipara,NZ,-35.1667,173.1667,68.63,91,100,14.45,light rain
115,Tupelo,US,34.2576,-88.7034,66.49,77,100,6.91,overcast clouds
116,Kununurra,AU,-15.7667,128.7333,73.38,94,28,1.14,scattered clouds
117,Belyy Yar,RU,53.6039,91.3903,46.29,42,0,6.71,clear sky
118,Freeport,US,40.6576,-73.5832,52.38,33,75,12.66,broken clouds
119,Mangrol,IN,21.1167,70.1167,79.57,71,2,10.69,clear sky
120,Cabedelo,BR,-6.9811,-34.8339,83.07,78,78,7.16,broken clouds
121,Kodiak,US,57.79,-152.4072,40.51,75,100,4.61,overcast clouds
122,Amapa,BR,1.0,-52.0,75.72,97,100,4.38,overcast clouds
123,Cabo San Lucas,MX,22.8909,-109.9124,92.61,51,47,11.21,scattered clouds
124,Naryan-Mar,RU,67.6713,53.087,32.52,98,100,8.81,overcast clouds
125,Airai,TL,-8.9266,125.4092,59.43,88,90,2.24,overcast clouds
126,Victoria,HK,22.2855,114.1577,72.18,79,100,10.0,overcast clouds
127,Hofn,IS,64.2539,-15.2082,45.32,86,12,4.83,few clouds
128,Nalut,LY,30.3333,10.85,63.07,31,0,8.99,clear sky
129,Bengkulu,ID,-3.8004,102.2655,75.47,93,93,4.81,overcast clouds
130,Svetlyy,RU,54.675,20.1347,37.96,78,56,6.64,broken clouds
131,Ancud,CL,-41.8697,-73.8203,57.22,76,100,5.3,overcast clouds
132,Udachnyy,RU,66.4167,112.4,35.46,100,100,10.74,light rain
133,Khorixas,NA,-20.3667,14.9667,71.91,37,5,5.57,clear sky
134,Tiksi,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
135,Port Elizabeth,ZA,-33.918,25.5701,65.32,96,75,9.22,broken clouds
136,Harper,LR,4.375,-7.7169,77.52,84,100,1.54,overcast clouds
137,Campbell River,CA,50.0163,-125.2446,50.38,57,40,16.11,scattered clouds
138,Thompson,CA,55.7435,-97.8558,30.36,34,75,2.3,broken clouds
139,Luderitz,NA,-26.6481,15.1594,68.31,51,0,8.95,clear sky
140,Basco,PH,20.4487,121.9702,76.41,73,100,18.59,overcast clouds
