City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Port Elizabeth,ZA,2022-04-16 12:27:39,-33.918,25.5701,66.49,58,20,11.5
108,Naze,JP,2022-04-16 12:27:40,28.3667,129.4833,59.92,61,82,12.48
109,Naryan-Mar,RU,2022-04-16 12:27:40,67.6713,53.087,25.65,88,77,10.38
110,Sinop,TR,2022-04-16 12:27:40,41.7711,34.8709,64.62,45,15,5.19
111,Bambous Virieux,MU,2022-04-16 12:27:41,-20.3428,57.7575,82.65,65,40,13.8
112,Buala,SB,2022-04-16 12:27:41,-8.145,159.5921,79.77,82,92,3.09
113,Gumdag,TM,2022-04-16 12:27:41,39.2061,54.5906,67.98,39,70,11.81
114,Ribeira Grande,PT,2022-04-16 12:27:41,38.5167,-28.7,63.0,77,75,10.36
115,Pisco,PE,2022-04-16 12:27:42,-13.7,-76.2167,62.02,94,100,4.61
116,Tigil,RU,2022-04-16 12:27:42,57.8,158.6667,6.69,98,22,2.06
117,Dubbo,AU,2022-04-16 12:27:42,-32.25,148.6167,59.13,63,0,9.22
118,Torbay,CA,2022-04-16 12:27:43,47.6666,-52.7314,37.27,93,100,28.77
119,Rudnaya Pristan,RU,2022-04-16 12:27:43,44.3614,135.8116,43.23,72,83,4.76
120,Udachnyy,RU,2022-04-16 12:27:43,66.4167,112.4,26.46,68,100,12.15
121,Hilo,US,2022-04-16 12:27:44,19.7297,-155.09,75.27,97,100,6.91
122,Mahebourg,MU,2022-04-16 12:27:44,-20.4081,57.7,82.69,65,40,13.8
123,Rocha,UY,2022-04-16 12:27:44,-34.4833,-54.3333,59.34,77,32,1.41
124,Kaitangata,NZ,2022-04-16 12:27:45,-46.2817,169.8464,50.58,67,94,7.58
125,Atuona,PF,2022-04-16 12:27:45,-9.8,-139.0333,78.26,79,18,16.58
126,Narsaq,GL,2022-04-16 12:27:45,60.9167,-46.05,34.02,59,5,1.43
127,Provideniya,RU,2022-04-16 12:27:46,64.3833,-173.3,30.69,95,100,14.83
128,Poum,NC,2022-04-16 12:27:46,-20.2333,164.0167,78.21,69,0,8.59
129,Cabo San Lucas,MX,2022-04-16 12:25:46,22.8909,-109.9124,77.31,17,20,10.36
130,Flinders,AU,2022-04-16 12:27:46,-34.5833,150.8552,62.19,87,2,3.0
131,Ilulissat,GL,2022-04-16 12:24:24,69.2167,-51.1,12.22,57,20,12.66
132,Norman Wells,CA,2022-04-16 12:27:47,65.282,-126.8329,-18.36,69,0,0.0
133,Pacific Grove,US,2022-04-16 12:27:47,36.6177,-121.9166,55.65,92,84,20.0
134,Luderitz,NA,2022-04-16 12:27:47,-26.6481,15.1594,73.35,47,0,12.44
135,Severo-Kurilsk,RU,2022-04-16 12:27:48,50.6789,156.125,29.16,88,100,7.67
136,Klyuchi,RU,2022-04-16 12:27:48,52.2667,79.1667,71.24,16,3,11.56
137,Kysyl-Syr,RU,2022-04-16 12:27:49,63.8986,122.7617,8.83,96,80,2.89
138,Mumford,GH,2022-04-16 12:27:49,5.2618,-0.759,84.52,68,84,0.78
139,Ponta Do Sol,PT,2022-04-16 12:27:49,32.6667,-17.1,73.13,41,100,5.93
140,Bilibino,RU,2022-04-16 12:27:49,68.0546,166.4372,11.75,90,92,5.7
141,Maicao,CO,2022-04-16 12:28:50,11.3832,-72.2432,79.41,78,78,16.93
142,Huarmey,PE,2022-04-16 12:28:50,-10.0681,-78.1522,66.6,87,100,8.75
143,Leningradskiy,RU,2022-04-16 12:28:50,69.3833,178.4167,-2.76,100,86,5.75
144,Banjar,ID,2022-04-16 12:28:51,-8.19,114.9675,79.03,90,63,1.28
145,Marzuq,YE,2022-04-16 12:28:51,14.4,46.4667,93.02,11,5,12.26
146,Sakakah,SA,2022-04-16 12:28:51,29.9697,40.2064,89.17,6,12,11.52
147,Katsuura,JP,2022-04-16 12:28:52,35.1333,140.3,53.67,76,74,11.16
148,Klaeng,TH,2022-04-16 12:28:52,12.7797,101.6483,88.95,71,79,7.92
149,Kavieng,PG,2022-04-16 12:28:52,-2.5744,150.7967,82.33,79,64,9.04
150,Jibuti,DJ,2022-04-16 12:28:53,11.5,42.5,92.5,34,26,13.04
151,Iqaluit,CA,2022-04-16 12:28:53,63.7506,-68.5145,-5.31,83,75,0.0
152,Gat,IL,2022-04-16 12:28:53,31.61,34.7642,80.4,8,26,9.91
153,Klaksvik,FO,2022-04-16 12:28:54,62.2266,-6.589,47.32,98,95,17.9
154,Smithers,CA,2022-04-16 12:28:54,54.7804,-127.1743,19.72,86,0,0.0
155,Hauterive,FR,2022-04-16 12:28:54,46.0901,3.4459,68.76,49,52,9.78
156,Moree,AU,2022-04-16 12:28:55,-29.4667,149.85,59.02,72,75,5.75
157,Koundara,GN,2022-04-16 12:28:55,12.4833,-13.3,100.33,15,53,4.23
158,Tasiilaq,GL,2022-04-16 12:28:55,65.6145,-37.6368,37.56,97,100,12.5
159,Shimanovsk,RU,2022-04-16 12:28:56,52.0,127.7,31.8,93,90,9.78
160,Hobart,AU,2022-04-16 12:28:56,-42.8794,147.3294,54.05,89,0,5.75
161,De-Kastri,RU,2022-04-16 12:28:56,51.4667,140.7833,32.09,92,100,8.34
162,Hithadhoo,MV,2022-04-16 12:28:57,-0.6,73.0833,83.7,64,87,2.55
163,Marienburg,PL,2022-04-16 12:28:57,54.0359,19.0266,49.87,54,34,15.97
164,Saryozek,KZ,2022-04-16 12:28:57,44.3583,77.9753,71.58,17,0,12.24
165,Jacareacanga,BR,2022-04-16 12:28:58,-6.2222,-57.7528,75.25,94,100,1.34
166,Flin Flon,CA,2022-04-16 12:28:58,54.7682,-101.865,10.24,72,40,3.44
167,Vardo,NO,2022-04-16 12:28:58,70.3705,31.1107,36.01,74,93,14.85
168,Caraquet,CA,2022-04-16 12:28:59,47.7941,-64.9386,37.94,98,99,7.78
169,Fairbanks,US,2022-04-16 12:28:38,64.8378,-147.7164,21.54,52,0,11.5
170,Lebu,CL,2022-04-16 12:28:59,-37.6167,-73.65,50.67,89,4,10.69
171,Mahon,ES,2022-04-16 12:28:59,39.8885,4.2658,72.16,49,0,20.71
172,Veraval,IN,2022-04-16 12:29:00,20.9,70.3667,86.47,55,0,12.35
173,Dudinka,RU,2022-04-16 12:29:00,69.4058,86.1778,27.63,90,100,2.06
174,Solnechnyy,RU,2022-04-16 12:29:00,50.7214,136.6319,31.98,98,100,3.85
175,Uchiza,PE,2022-04-16 12:29:01,-8.4592,-76.4633,69.08,94,87,1.95
176,Jumla,NP,2022-04-16 12:29:01,29.2747,82.1838,57.51,45,98,4.43
177,Hanmer Springs,NZ,2022-04-16 12:29:01,-42.5167,172.8167,50.49,94,58,0.65
178,Tarabuco,BO,2022-04-16 12:29:02,-19.1667,-64.9167,45.03,77,97,6.26
179,Presidencia Roque Saenz Pena,AR,2022-04-16 12:29:02,-26.7852,-60.4388,58.71,72,75,5.21
180,West Wendover,US,2022-04-16 12:29:02,40.7391,-114.0733,36.61,65,0,0.0
181,Kushima,JP,2022-04-16 12:29:03,31.4583,131.2333,56.46,61,42,6.62
182,Korla,CN,2022-04-16 12:29:03,41.7597,86.1469,60.42,8,0,12.57
183,Castro,BR,2022-04-16 12:29:03,-24.7911,-50.0119,55.47,82,14,6.13
184,Killarney,IE,2022-04-16 12:29:04,52.05,-9.5167,57.25,72,20,19.57
185,Lensk,RU,2022-04-16 12:29:04,60.7253,114.9278,22.95,92,100,3.87
186,Tommot,RU,2022-04-16 12:29:05,58.9564,126.2925,20.3,91,96,2.1
187,Nemuro,JP,2022-04-16 12:30:05,43.3236,145.575,32.92,76,4,16.8
