City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Boulder City,US,85.42,clear sky,35.9786,-114.8325,Boulder Dam Hotel
538,Kavaratti,IN,83.34,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
543,Thiruvananthapuram,IN,76.98,mist,8.4833,76.9167,Hotel Residency Tower
544,Mitsamiouli,KM,81.91,clear sky,-11.3847,43.2844,Foyer ADM
547,Saint-Georges,GD,80.15,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
548,Mancio Lima,BR,84.94,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
551,Sorong,ID,81.99,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
553,Mana,GF,79.07,scattered clouds,5.6592,-53.7767,LE SAMANA
555,Kattivakkam,IN,86.09,scattered clouds,13.2167,80.3167,Euronova Freezer
560,Lamu,KE,80.82,moderate rain,-2.2717,40.902,Lamu House
564,Nagar Karnul,IN,82.72,overcast clouds,16.4821,78.3247,Sanjeevani Hills
566,Buin,CL,75.52,few clouds,-33.7333,-70.75,Paihuen
572,Kimbe,PG,77.25,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
574,Sao Felix Do Xingu,BR,76.37,light rain,-6.6447,-51.995,Rio Xingu Camping
576,Cabo Rojo,PR,84.25,broken clouds,18.0866,-67.1457,Hotel Perichi's
577,The Valley,AI,79.83,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
587,Chemin Grenier,MU,76.69,light rain,-20.4872,57.4656,Shanti Maurice Resort & Spa
591,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
598,Belmonte,BR,77.43,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
602,Bontang,ID,78.13,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
603,Ram Das,IN,75.11,clear sky,31.9661,74.9047,Silli home
604,Vung Tau,VN,82.09,scattered clouds,10.346,107.0843,Seaside Resort
610,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
611,Lufilufi,WS,85.78,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
612,Dicabisagan,PH,76.01,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
613,Ormara,PK,80.6,clear sky,25.2088,64.6357,Kenara Colony house for Rent
616,Belluru,IN,75.99,broken clouds,12.9911,76.7444,Hotel Mayura
622,Tharad,IN,81.19,clear sky,24.3961,71.6267,Shree Nandan Couriyar Service
623,Fare,PF,81.46,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
628,Namagiripettai,IN,81.43,broken clouds,11.4667,78.2667,Logasaravana Hotel
634,Namibe,AO,75.27,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
635,Khlung,TH,85.1,overcast clouds,12.4547,102.2214,Bai Phai Resort
636,Vao,NC,76.98,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
637,Gouyave,GD,79.09,overcast clouds,12.1646,-61.7296,Rumboat Retreat
639,Tomatlan,MX,87.82,broken clouds,19.9333,-105.25,El Salvial
